PartnerRefCD,NoOfPoints,CompanyMileagePlanNumber,TransactionDate,LastName
WBCEJF0272119739644,161,816421955,2025-10-08,SOH DOE Waiakea High School
JTOMXS0272120888599,272,883819871,2025-10-20,Lokahi Builders, LLC
EWOTOR0272119510096,105,537811875,2025-10-06,SOH DOE Kauai Complex Area 
JMQVIA0272119134169,115,499039704,2022-12-20,SOH DOE Waimea High School
JMQVIA0272119134171,115,499039704,2022-12-20,SOH DOE Waimea High School
AUYRNF0272119630594,143,134734110,2025-10-07,GOODFELLOW BROS., INC.
JMQVIA0272119134175,115,499039704,2022-12-20,SOH DOE Waimea High School
JMQVIA0272119134174,115,499039704,2022-12-20,SOH DOE Waimea High School
JKXVYZ0272120644326,129,474106286,2021-05-05,Seven Eleven
KRAZIS0272120650904,129,984083811,2025-10-17,Hawaiian Dredging Construction Co Maui
OKCJMR0272120641635,65,909528410,2025-10-17,PACIFIC ISLANDS GROUP
QHZQWA0272120192851,124,538661281,2025-03-24,Diagnostic Laboratories General
SHYNDY0272120897418,116,775517794,2025-10-20,Acutron, LLC
MNKHJZ0272119139075,110,682049480,2025-08-15,Hawaiian Cement
NUBYPZ0272120445120,122,451104931,2025-10-15,Kaiser Permanente HI Pharmacy
HRYFKA0272119817049,153,454675454,2025-10-06,Kaiser Permanente - Hawaii Permanente Medical Group 191017482
KYWSQP0272120564311,166,491156912,2024-05-17,Aloha Sunshine Tours LLC
YSROYA0272120441436,129,538661281,2025-10-15,Diagnostic Laboratories General
OHKJQF0272118763696,53,65904252,2025-03-27,NANA MANAGEMENT SERVICES
OCTKZL0272120624397,129,444217631,2024-10-30,Island Pacific Distributors
OIJMTB0272120219338,134,643254426,2024-12-29,Greeters of Hawaii, LTD.
IFTXJZ0272120548672,129,615998504,2025-10-16,NAPA Hawaii
WDEQCK0272120320063,138,694700996,2025-10-14,Bank of Hawaii 256
HKNNAY0272120448435,129,977126194,2022-04-02,Hi Tech Plumbing Corp
EDICJW0272120210240,120,568649141,2019-05-28,Nordic PCL Construction-Execs
EYYEGY0272120901002,138,935099664,2025-10-19,RV Painting Inc
SIBWMK0272120900658,138,935099664,2025-08-07,RV Painting Inc
EQHKRM0272120657776,273,811362241,2025-10-15,Modivcare
WBCEJF0272119739640,161,816421955,2025-10-08,SOH DOE Waiakea High School
AUTXFO0272120845693,199,774303530,2021-11-13,Foodland 2
EQHKRM0272120657311,273,811362241,2025-10-15,Modivcare
CBSHZE0272120896812,194,811362241,2025-10-20,Modivcare
GKSJLZ0272120799471,286,488940255,2025-10-19,Kaiser Permanete - Travel Kacie
GKSJLZ0272120795384,286,488940255,2025-10-19,Kaiser Permanete - Travel Kacie
WBCEJF0272119739642,161,816421955,2025-10-08,SOH DOE Waiakea High School
UVYPCF0272119014699,110,808161594,2025-10-01,Edith Kanakaole Foundation
YEFXCT0272119611050,124,920970400,2025-08-06,Tony Hawaii Automotive Group, Ltd. dba Tony Group
JKEAAT0272119737866,199,816421955,2022-07-17,SOH DOE Waiakea High School
WBCEJF0272119739639,161,816421955,2025-10-08,SOH DOE Waiakea High School
WBCEJF0272119739645,161,816421955,2025-10-08,SOH DOE Waiakea High School
