SourceFile,RecordLocator,RecordId,TicketNumber,BookingDate,ProcessingStage,FailureCategory,FailureReason,TechnicalDetails,CanRetry,RequiredAction,Timestamp,OriginalName,OriginalDescription
September,NOYFHG,N/A,0272113443762,2025-08-04T00:00:00.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 133,"Record from 9/22/2025, 4:03:05.524 AM"
September,JUPVIR,N/A,0272116200200,2025-09-02T00:00:00.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 135,"Record from 9/24/2025, 9:53:01.481 PM"
September,FVGYYD,N/A,0272118247942,2025-09-24T00:00:00.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 136,"Record from 9/24/2025, 9:52:59.158 PM"
September,IJIXNR,N/A,0272117295775,2025-09-14T00:00:00.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 137,"Record from 9/24/2025, 9:22:58.800 PM"
September,IOYZCR,N/A,0272104130022,2025-04-30T00:00:00.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 138,"Record from 9/30/2025, 9:29:15.989 PM"
September,AUOBMK,N/A,0272117642552,2025-09-17T00:00:00.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 139,"Record from 9/29/2025, 7:53:47.640 PM"
September,KQDFXS,N/A,0272107567271,2025-06-04T00:00:00.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 143,"Record from 9/30/2025, 1:18:14.509 AM"
September,JPQERV,N/A,0272116721751,2025-09-08T11:42:53.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 145,"Record from 9/21/2025, 4:19:47.431 AM"
September,KARYEV,N/A,0272117025046,2025-09-10T23:39:13.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 146,"Record from 9/20/2025, 4:26:15.664 AM"
September,ARGKXR,N/A,0272110353060,2025-07-02T00:00:00.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 147,"Record from 10/1/2025, 2:50:01.932 AM"
September,EZKOKP,N/A,0272115306277,2025-08-23T00:00:00.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 148,"Record from 10/1/2025, 3:50:27.732 AM"
September,QGIYBK,N/A,0272118422927,2025-09-25T00:00:00.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 151,"Record from 10/1/2025, 4:16:47.363 AM"
