RecordLocator,Name,Description,BookingDate,Reason
"JINLFB","Passenger Record 166","Record from 9/29/2025, 11:43:14.005 PM","2025-05-02T00:00:00.0000000Z","Non-AFB Customer"
"CJSHTG","Passenger Record 167","Record from 9/29/2025, 4:58:24.687 PM","2025-09-20T00:00:00.0000000Z","Non-AFB Customer"
"QLOGBR","Passenger Record 176","Record from 9/30/2025, 5:45:30.376 PM","2025-05-21T00:00:00.0000000Z","Non-AFB Customer"
"OEBTNI","Passenger Record 179","Record from 9/29/2025, 7:05:44.048 PM","2025-09-11T00:00:00.0000000Z","Non-AFB Customer"
"EWRJRT","Passenger Record 180","Record from 9/29/2025, 5:55:39.551 PM","2025-09-26T00:00:00.0000000Z","Non-AFB Customer"
"HZSAXZ","Passenger Record 181","Record from 9/29/2025, 5:57:43.177 PM","2025-06-25T00:00:00.0000000Z","Non-AFB Customer"
"LGFOSY","Passenger Record 182","Record from 9/29/2025, 7:16:35.674 PM","2025-09-18T00:00:00.0000000Z","Non-AFB Customer"
"ICWMNT","Passenger Record 183","Record from 9/17/2025, 11:01:19.105 PM","2025-09-07T00:00:00.0000000Z","Non-AFB Customer"
"ESOQLG","Passenger Record 184","Record from 9/18/2025, 2:18:43.343 AM","2025-06-26T00:00:00.0000000Z","Non-AFB Customer"
"UCCKEQ","Passenger Record 185","Record from 9/18/2025, 1:13:10.887 AM","2025-08-25T00:00:00.0000000Z","Non-AFB Customer"
"EADUTI","Passenger Record 186","Record from 9/18/2025, 4:20:02.119 PM","2025-09-17T00:00:00.0000000Z","Non-AFB Customer"
"YESKNJ","Passenger Record 187","Record from 9/18/2025, 3:58:04.521 PM","2025-09-07T00:00:00.0000000Z","Non-AFB Customer"
"ONPCAD","Passenger Record 188","Record from 9/18/2025, 5:59:02.043 PM","2025-09-18T00:00:00.0000000Z","Non-AFB Customer"
"CTRUXE","Passenger Record 189","Record from 9/20/2025, 4:23:31.551 AM","2025-08-21T22:39:10.0000000Z","Non-AFB Customer"
"WXFWRL","Passenger Record 193","Record from 9/24/2025, 8:07:16.230 AM","2025-07-05T00:00:00.0000000Z","Non-AFB Customer"
"GHJQRX","Passenger Record 198","Record from 9/18/2025, 10:01:39.530 PM","2025-09-15T00:00:00.0000000Z","Non-AFB Customer"
"FLMWRK","Passenger Record 199","Record from 9/17/2025, 10:01:43.147 PM","2025-08-26T00:00:00.0000000Z","Non-AFB Customer"
"EAJTGH","Passenger Record 200","Record from 9/30/2025, 9:05:24.683 PM","2025-08-07T00:00:00.0000000Z","Non-AFB Customer"
"AWTZGV","Passenger Record 216","Record from 9/30/2025, 4:52:56.972 PM","2025-09-23T13:39:52.0000000Z","Non-AFB Customer"
"DODFOV","Passenger Record 218","Record from 9/30/2025, 1:55:06.892 PM","2025-09-29T00:00:00.0000000Z","Non-AFB Customer"
"EOGKGM","Passenger Record 219","Record from 9/30/2025, 1:59:30.008 PM","2025-08-13T00:00:00.0000000Z","Non-AFB Customer"
"DZJCFQ","Passenger Record 220","Record from 9/30/2025, 4:30:44.907 PM","2025-08-17T00:00:00.0000000Z","Non-AFB Customer"
"IRPAVA","Passenger Record 225","Record from 9/30/2025, 4:25:08.259 PM","2025-09-29T00:00:00.0000000Z","Non-AFB Customer"
"UMONIL","Passenger Record 232","Record from 9/21/2025, 7:12:07.348 AM","2025-06-11T00:00:00.0000000Z","Non-AFB Customer"
"YMQSXV","Passenger Record 233","Record from 9/27/2025, 5:23:45.074 AM","2025-09-26T00:00:00.0000000Z","Non-AFB Customer"
"SWXGKG","Passenger Record 239","Record from 9/19/2025, 5:22:08.817 PM","2025-09-13T00:00:00.0000000Z","Non-AFB Customer"
"QJHATL","Passenger Record 245","Record from 10/1/2025, 2:34:08.748 AM","2025-09-25T00:00:00.0000000Z","Non-AFB Customer"
"CKEHWD","Passenger Record 252","Record from 10/1/2025, 12:10:06.858 AM","2025-09-18T00:00:00.0000000Z","Non-AFB Customer"
"QBHIEC","Passenger Record 256","Record from 10/1/2025, 12:33:04.997 AM","2025-09-02T00:00:00.0000000Z","Non-AFB Customer"
"FNKCZC","Passenger Record 257","Record from 9/19/2025, 1:51:01.646 PM","2025-09-04T00:00:00.0000000Z","Non-AFB Customer"
"DEMBYL","Passenger Record 258","Record from 9/23/2025, 2:45:40.325 AM","2025-09-16T00:00:00.0000000Z","Non-AFB Customer"
"YNPDGZ","Passenger Record 259","Record from 9/23/2025, 2:40:21.475 AM","2025-06-26T00:00:00.0000000Z","Non-AFB Customer"
"QNZCYN","Passenger Record 260","Record from 9/23/2025, 6:55:20.905 AM","2025-09-11T00:00:00.0000000Z","Non-AFB Customer"
"NXYCZX","Passenger Record 269","Record from 10/1/2025, 4:08:20.811 PM","2025-09-26T00:00:00.0000000Z","Non-AFB Customer"
"AHBGFC","Passenger Record 270","Record from 10/1/2025, 6:28:57.108 PM","2025-09-30T00:00:00.0000000Z","Non-AFB Customer"
"MMASBS","Passenger Record 275","Record from 10/1/2025, 3:10:28.010 PM","2025-08-21T00:00:00.0000000Z","Non-AFB Customer"
"FCVDGS","Passenger Record 278","Record from 9/29/2025, 4:39:21.668 PM","2025-08-19T00:00:00.0000000Z","Non-AFB Customer"
"HNSFWM","Passenger Record 280","Record from 9/20/2025, 4:19:47.789 AM","2025-08-03T00:00:00.0000000Z","Non-AFB Customer"
"LTBYGY","Passenger Record 281","Record from 9/20/2025, 4:56:46.909 AM","2025-09-18T00:00:00.0000000Z","Non-AFB Customer"
"FMFGJH","Passenger Record 282","Record from 9/20/2025, 8:50:52.517 PM","2025-08-17T00:00:00.0000000Z","Non-AFB Customer"
"FCYTUB","Passenger Record 283","Record from 9/18/2025, 9:28:17.780 PM","2025-07-25T00:00:00.0000000Z","Non-AFB Customer"
"DYVBVC","Passenger Record 284","Record from 9/19/2025, 1:01:38.546 AM","2025-08-07T00:00:00.0000000Z","Non-AFB Customer"
"LGFUZM","Passenger Record 288","Record from 9/30/2025, 1:03:34.295 AM","2025-09-12T00:00:00.0000000Z","Non-AFB Customer"
"LTQMAH","Passenger Record 290","Record from 9/30/2025, 2:33:15.077 AM","2025-09-03T00:00:00.0000000Z","Non-AFB Customer"
"KNTPDU","Passenger Record 292","Record from 9/30/2025, 3:47:53.621 AM","2025-09-26T00:00:00.0000000Z","Non-AFB Customer"
"AMWEIM","Passenger Record 295","Record from 9/30/2025, 2:47:09.248 AM","2025-09-07T00:00:00.0000000Z","Non-AFB Customer"
"EGOSOU","Passenger Record 298","Record from 9/30/2025, 2:53:35.347 AM","2025-06-10T00:00:00.0000000Z","Non-AFB Customer"
"IYHQLU","Passenger Record 299","Record from 9/30/2025, 2:54:06.968 AM","2025-03-29T00:00:00.0000000Z","Non-AFB Customer"
"QHZLXP","Passenger Record 300","Record from 9/30/2025, 4:51:21.918 AM","2025-08-06T00:00:00.0000000Z","Non-AFB Customer"
"DNIKUD","Passenger Record 301","Record from 9/30/2025, 1:23:20.158 AM","2025-09-25T00:00:00.0000000Z","Non-AFB Customer"
"YEHOJF","Passenger Record 302","Record from 9/30/2025, 4:55:05.161 AM","2025-08-31T00:00:00.0000000Z","Non-AFB Customer"
"OLCPJL","Passenger Record 304","Record from 9/30/2025, 4:53:07.840 AM","2025-08-26T00:00:00.0000000Z","Non-AFB Customer"
"WYPAWW","Passenger Record 309","Record from 9/23/2025, 4:25:07.266 AM","2025-09-03T15:49:34.0000000Z","Non-AFB Customer"
"JYLDIC","Passenger Record 311","Record from 9/24/2025, 12:52:39.393 AM","2025-09-03T00:00:00.0000000Z","Non-AFB Customer"
